order_item_id,order_id,product_id,quantity,price
1,1,8,3,285.4
2,2,16,5,886.59
3,3,5,2,605.99
4,3,49,2,953.95
5,3,35,4,405.4
6,3,50,5,919.3
7,4,39,2,599.92
8,4,28,3,407.14
9,4,14,4,540.86
10,4,35,3,405.4
11,4,49,4,953.95
12,5,16,2,886.59
13,6,38,5,600.43
14,7,1,1,744.12
15,7,5,2,605.99
16,8,5,3,605.99
17,8,33,4,747.53
18,8,16,2,886.59
19,9,37,1,161.3
20,9,31,1,885.83
21,9,16,4,886.59
22,9,27,3,823.57
23,9,13,4,809.05
24,10,44,1,13.2
25,11,7,2,425.31
26,11,16,5,886.59
27,11,13,4,809.05
28,12,18,2,235.61
29,12,30,1,220.49
30,13,4,5,102.75
31,14,11,4,111.18
32,14,27,4,823.57
33,15,11,4,111.18
34,16,30,5,220.49
35,16,19,4,867.81
36,16,28,2,407.14
37,17,4,5,102.75
38,17,38,1,600.43
39,18,4,5,102.75
40,19,11,1,111.18
41,19,4,5,102.75
42,19,33,1,747.53
43,19,6,2,718.85
44,19,12,4,849.01
45,20,38,1,600.43
46,20,39,5,599.92
47,21,37,3,161.3
48,21,34,2,749.53
49,21,21,3,171.02
50,21,17,4,200.36
51,21,14,2,540.86
52,22,21,4,171.02
53,22,49,5,953.95
54,22,5,5,605.99
55,22,1,1,744.12
56,23,33,2,747.53
57,23,17,3,200.36
58,24,19,5,867.81
59,24,11,3,111.18
60,24,29,5,913.99
61,25,43,5,120.43
62,26,17,1,200.36
63,26,8,5,285.4
64,27,39,3,599.92
65,27,14,2,540.86
66,27,46,3,913.49
67,28,4,4,102.75
68,28,6,3,718.85
69,28,41,1,723.5
70,29,41,2,723.5
71,29,17,4,200.36
72,30,1,5,744.12
73,30,8,1,285.4
74,30,5,3,605.99
75,30,45,5,972.16
76,30,10,5,163.91
77,31,3,3,96.06
78,31,20,1,458.87
79,32,43,3,120.43
80,32,7,5,425.31
81,33,16,2,886.59
82,33,11,4,111.18
83,34,27,2,823.57
84,34,43,3,120.43
85,34,48,2,206.91
86,35,3,4,96.06
87,35,31,3,885.83
88,35,15,3,88.0
89,35,13,2,809.05
90,36,26,3,227.41
91,36,22,1,673.46
92,37,42,5,753.36
93,37,33,3,747.53
94,37,26,1,227.41
95,38,38,1,600.43
96,38,17,1,200.36
97,39,47,5,843.24
